Grade,Subject,Hours per week,Teach Work Load,Teacher,Class Teacher,Full Time,Classroom,MonStart,Mon Duration,MonEnd,TueStart,Tue Duration,TueEnd,WedStart,Wed Duration,WedEnd,ThuStart,Thu Duration,ThuEnd,FriStart,Fri Duration,FriEnd
Grade 1,Afrikaans,2:30,2:30,Teacher L,Grade 1,Yes,Grade 1,13:30,0:30,14:00,12:00,0:30,12:30,13:30,0:30,14:00,12:00,1:00,13:00,,,
Grade 1,Afrikaans,0:30,0:30,Teacher C,Grade 4,Yes,Grade 1,,,0:00,,,0:00,,,0:00,,,0:00,11:00,0:30,11:30
Grade 1,Art,1:30,1:30,Teacher L,Grade 1,Yes,Grade 1,,,0:00,,,0:00,,,0:00,,,0:00,8:00,1:30,9:30
Grade 1,Asst Computers,1:00,0:30,Teacher J,Sport,Yes,Grade 0,10:00,1:00,11:00,,,0:00,,,0:00,,,0:00,,,0:00
Grade 1,Break,2:30,2:30,Teacher F,Free,Yes,Playground,9:30,0:30,10:00,9:30,0:30,10:00,9:30,0:30,10:00,9:30,0:30,10:00,9:30,0:30,10:00
Grade 1,Computers,1:00,0:30,Teacher L,Grade 5,Yes,Grade 0,10:00,1:00,11:00,,,0:00,,,0:00,,,0:00,,,0:00
Grade 1,D&T,1:00,1:00,Teacher L,Grade 5,Yes,Grade 0,,,0:00,,,0:00,,,0:00,,,0:00,11:30,1:00,12:30
Grade 1,Drumming,0:30,0:30,Teacher B,Music,No,Grade 1,,,0:00,12:30,0:30,13:00,,,0:00,,,0:00,,,0:00
Grade 1,English,2:30,2:30,Teacher L,Grade 1,Yes,Grade 1,7:30,0:30,8:00,7:30,0:30,8:00,7:30,0:30,8:00,7:30,0:30,8:00,7:30,0:30,8:00
Grade 1,English,5:00,5:00,Teacher L,Grade 1,Yes,Grade 1,12:00,1:00,13:00,10:00,2:00,12:00,10:00,1:00,11:00,10:00,1:00,11:00,,,0:00
Grade 1,English,1:00,1:00,Teacher L,Grade 1,Yes,Grade 1,,,0:00,,,0:00,12:00,1:00,13:00,,,0:00,,,0:00
Grade 1,LO,2:30,2:30,Teacher L,Grade 1,Yes,Grade 1,13:00,0:30,13:30,13:00,0:30,13:30,13:00,0:30,13:30,13:00,1:00,14:00,,,0:00
Grade 1,Marimbas,0:30,0:30,Teacher R,Music,Yes,Grade 1,,,0:00,13:30,0:30,14:00,,,0:00,,,0:00,,,0:00
Grade 1,Maths,7:00,6:30,Teacher L,Grade 1,Yes,Grade 1,8:00,1:30,9:30,8:00,1:30,9:30,8:00,1:30,9:30,8:00,1:30,9:30,10:00,1:00,11:00
Grade 1,Sport,4:00,3:00,Teacher J,Sport,Yes,Sports Field,11:00,1:00,12:00,,,0:00,11:00,1:00,12:00,11:00,1:00,12:00,12:30,1:00,13:30
Grade 2,Afrikaans,3:00,3:00,Teacher L,Grade 2,Yes,Grade 2,13:00,1:00,14:00,12:00,0:30,12:30,12:00,1:30,13:30,,,0:00,,,0:00
Grade 2,Art,1:30,0:45,Teacher L,Grade 1,Yes,Grade 2,,,0:00,,,0:00,,,0:00,,,0:00,8:00,1:30,9:30
Grade 2,Asst Computers,1:00,0:30,Teacher L,Grade 2,Yes,Grade 0,,,0:00,7:30,1:00,8:30,,,0:00,,,0:00,,,0:00
Grade 2,Assist Art,1:30,0:45,Teacher L,Grade 2,Yes,Grade 2,,,0:00,,,0:00,,,0:00,,,0:00,8:00,1:30,9:30
Grade 2,Break,2:30,2:30,Teacher F,Free,Yes,Playground,9:30,0:30,10:00,9:30,0:30,10:00,9:30,0:30,10:00,9:30,0:30,10:00,9:30,0:30,10:00
Grade 2,Computers,1:00,0:30,Teacher L,Grade 5,Yes,Grade 0,,,0:00,7:30,1:00,8:30,,,0:00,,,0:00,,,0:00
Grade 2,D&T,1:00,1:00,Teacher L,Grade 5,No,Grade 0,,,0:00,,,0:00,,,0:00,7:30,1:00,8:30,,,0:00
Grade 2,Drumming,0:30,0:30,Teacher B,Music,Yes,Grade 2,,,0:00,13:00,0:30,13:30,,,0:00,,,0:00,,,0:00
Grade 2,English,3:00,3:00,Teacher L,Grade 2,Yes,Grade 2,9:00,0:30,9:30,10:00,1:00,11:00,9:00,0:30,9:30,10:30,0:30,11:00,7:30,0:30,8:00
Grade 2,English,4:00,4:00,Teacher L,Grade 2,Yes,Grade 2,10:00,1:00,11:00,,,0:00,10:00,1:00,11:00,12:00,1:00,13:00,11:00,1:00,12:00
Grade 2,LO,3:00,3:00,Teacher L,Grade 2,Yes,Grade 2,7:30,0:30,8:00,11:00,1:00,12:00,13:30,0:30,14:00,13:00,1:00,14:00,,,0:00
Grade 2,LO,1:30,1:30,Teacher L,Grade 2,Yes,Grade 2,12:00,1:00,13:00,13:30,0:30,14:00,,,0:00,,,0:00,,,0:00
Grade 2,Marimbas,0:30,0:30,Teacher R,Music,Yes,Grade 2,,,0:00,12:30,0:30,13:00,,,0:00,,,0:00,,,0:00
Grade 2,Maths,5:30,5:30,Teacher L,Grade 2,Yes,Grade 2,8:00,1:00,9:00,8:30,1:00,9:30,7:30,1:30,9:00,8:30,1:00,9:30,10:00,1:00,11:00
